text,intent,style
ek ghanat late pahunchunga accident hai,report_delay,augmented_spelling
10 minute late pahunchunga baarish hai,report_delay,abbreviated
baarish ke karan delay hoga,report_delay,augmented_spelling
yaar petro lkhatam ki wajah se ek ghanta late honga,report_delay,augmented_spelling
sir mujhe aane mein 10 minute lagenge,report_delay,formal_hindi
yaar bheed ki wjh se 15 mins late honga,report_delay,abbreviated
20 min late pahunchunga traffic hai,report_delay,abbreviated
5 min late pahunchunga tyre puncture h,report_delay,abbreviated
5 min late pahunchunga accident hai,report_delay,abbreviated
5 min late pahunchunga accident hai,report_delay,augmented_spelling
baarish ki wajah se 5 min late honga,report_delay,casual_hindi
20 min late pahunchunga traffic hai,report_delay,casual_hindi
yaar petrlo khatam ki wajah se aadh ghanta late honga,report_delay,augmented_spelling
locaton send karo yaar,get_address,augmented_spelling
bhaiya traffic ki wajah se k ghanta late honga,report_delay,augmented_spelling
locaton samajh nahi aa raha,navigation_help,augmented_spelling
20 min late pahunchunga tyre puncture hai,report_delay,augmented_spelling
20 min late pahunchnga petrol khatam hai,report_delay,augmented_spelling
yaar petrol khatam ki wajah se 15 mins late honga,report_delay,augmented_spelling
aadh ghanta late pahunchunga accident h,report_delay,abbreviated
kirpya mujhe aane mein 15 mins lagenge,report_delay,augmented_spelling
20 min late pahunchunga traffic h,report_delay,abbreviated
boss traffic ki wajah se 5 minl ate honga,report_delay,augmented_spelling
tyre puncture ki wajah se 5 mins late honga,report_delay,augmented_spelling
guru accident ki wajah se 10 minute late honga,report_delay,casual_hindi
yaar trafic ki wajah se aadh ghanta late honga,report_delay,augmented_spelling
ustad accident ki vjh se 5 min late honga,report_delay,abbreviated
15 mins late aphunchunga tyre puncture hai,report_delay,augmented_spelling
late ho jaunga 10 minute,report_delay,abbreviated
aadh ghanta late pahunchunga accident hai,report_delay,abbreviated
aadh ghanta late pahunchunga petrol khatam hai,report_delay,casual_hindi
15 mins late pahucnhunga traffic hai,report_delay,augmented_spelling
bhaiya petrol khatam ki wajah se 20m in late honga,report_delay,augmented_spelling
order cancel kar do,order_issue,abbreviated
bawa baarish ki wjh se 5 min late honga,report_delay,abbreviated
ustad accident ki wajah se 1 mins late honga,report_delay,augmented_spelling
ek ghanta late pahunchnga tyre puncture hai,report_delay,augmented_spelling
aadh ghanta late pahunchunga petrol khatam hai,report_delay,augmented_spelling
late ho jaunga ek ghanta,report_delay,abbreviated
yaar traffick i wajah se 5 min late honga,report_delay,augmented_spelling
bhai baarish ki wajah se 10 minute late honga,report_delay,casual_hindi
bhi accident ki wjh se 5 min late honga,report_delay,abbreviated
5 min late pahunchunga petrol khatam hai,report_delay,augmented_spelling
boss tyre puncture ki wajah se aadh ghanta late honga,report_delay,abbreviated
ustad traffic ki wajah se 10 minute late honga,report_delay,abbreviated
5 min late pahunchunga tyre puncture hai,report_delay,casual_hindi
yaar bheed ki wajah se 15 mins late honga,report_delay,augmented_spelling
late ho jaunga aadh ghanta,report_delay,abbreviated
bhaiya tyre puncture ki wjh se 5 min late honga,report_delay,abbreviated
guru traffic ki wajah se 15 mins lte honga,report_delay,augmented_spelling
15 mins late pahunchunga bheed h,report_delay,abbreviated
ustad baarish ki wjh se 15 mins late honga,report_delay,abbreviated
ek ghanta late pahunchunga baarish h,report_delay,abbreviated
traffic ke karan delay hoga,report_delay,formal_hindi
tyre puncture ke karan delay hoga,report_delay,abbreviated
20 min late pahunchunga traffic hai,report_delay,casual_hindi
20 min lte pahunchunga accident hai,report_delay,augmented_spelling
item missing h,order_issue,abbreviated
accident ki wajah se ek ghanta late hnoga,report_delay,augmented_spelling
aadh ghanta late pahunchunga baarish h,report_delay,abbreviated
boss bhede ki wajah se 10 minute late honga,report_delay,augmented_spelling
bhai tyre puncture ki wajah se aadh ghanta late honga,report_delay,augmented_spelling
